delta_R,m_mu_mu
4.22503683783,53.23791268
2.82996139824,125.773096839
2.13655288851,123.642212188
3.63564446818,125.055217215
3.20966432264,7.75605981559
2.35073066421,19.3972010374
2.68005490268,112.864791525
3.89332988611,128.691233666
3.27725309367,116.624047497
2.62519266618,126.134841407
3.00210507315,124.050299979
3.60427317152,125.357394452
2.7319244597,125.101419705
2.98105344747,6.11210464368
3.95057069112,16.2663168968
3.32227070511,20.5567241381
3.91925932732,114.412699162
3.58839829301,124.727670935
1.96714500436,25.5289112198
3.69204481528,6.24314764742
4.38024266994,41.0487274284
3.94494405974,124.167546877
3.76945462891,126.159983981
4.22430934257,13.9724890861
1.98955762566,20.095502633
3.26379282553,22.6007879744
3.62603991627,11.294257599
4.14753584101,9.67196893826
2.8353505836,123.057079752
4.11046915871,7.16605699226
3.41092982721,126.156470584
2.93694038805,124.983872844
3.10690317591,121.747432752
3.32325384331,121.811887043
2.74193804811,124.350598517
2.87579424791,127.248395974
3.55012987945,119.515946175
4.44617225323,27.5675302481
3.13053465757,30.3127249539
2.78679002518,120.366525896
3.83657536779,125.223716305
3.84975588762,2.80612063554
1.94339956167,2.33755773612
3.18861036799,119.730504814
3.55849953393,122.699120835
3.43830848,4.62674664362
3.61832422135,122.092109656
3.94545139104,117.917967857
2.32205479569,126.933047122
3.33348558769,119.371324662
4.19464343188,21.6175685474
4.14151022239,24.0757185148
4.177983728,10.5106061519
2.18066776509,18.5795800328
3.21655723784,122.313470707
5.20566294875,124.692968082
3.90304681236,34.8196580691
2.95949599123,123.282501447
3.33331938635,126.032094384
2.88048491707,125.927005906
3.20174296317,100.33347166
2.98081350253,121.423892004
3.72483537669,122.495294029
3.79210234027,23.5382532555
2.9452835067,124.774512178
3.10317963013,125.296248285
3.27956998457,125.39841212
4.49344320043,41.5663830705
4.25940955351,29.9958741125
1.93039034686,10.3343899069
5.06463376802,1.05913794195
2.26937837702,20.0585563809
3.44053190192,122.26434912
3.34755157284,28.860580742
2.92412534924,26.1175935053
3.56196775577,3.76310198791
3.4790471241,2.72618829016
4.23580960983,7.78675603332
2.7526367885,125.618673891
1.40637270744,123.621671641
3.17992621539,125.991585534
3.55234105957,117.215799559
4.13151885617,123.273605313
3.21532630507,123.853714055
4.32784875504,44.0514486076
3.15581146973,17.3000541679
1.38532685448,126.015728205
2.77056227228,25.9621346413
2.33900154937,125.376343298
2.47874930223,1.91382968568
3.32081309224,5.879044711
3.04566881311,50.934265045
3.67673734622,123.038689216
3.71858805973,124.58383052
4.55443086925,2.2222177745
3.03178196789,35.4497124255
4.32309879236,1.48908825621
2.97951709403,28.7457553857
3.80104240739,3.57110026487
3.48483938651,44.7314254048
3.45400308774,63.1029573669
3.88487635366,3.21038240962
3.96007485842,122.420305618
1.45796214231,124.328605811
2.98980820197,123.878503299
3.1183451888,121.635541133
3.50308344004,126.471238039
2.81504635168,127.648622246
2.96063562148,122.670209111
3.38568986136,124.821204258
2.41466591549,32.904951836
3.45026892721,125.383540854
2.54721715191,124.824091541
3.31562559787,125.936421424
0.976135025,123.616910587
3.02841188735,15.5525885688
2.01770115937,122.903327295
2.53839476007,121.673492649
2.32590724642,120.761327747
3.10856384209,125.410747921
3.15027074373,8.79302946363
2.77251277818,124.149669736
3.92613375105,7.26113785709
2.27454579316,124.672302973
3.23262260015,6.82124808187
3.01067737648,123.079028424
3.32302652745,122.613288346
2.18739693195,121.674329803
3.23066045503,125.356169923
2.76021679884,125.84240672
2.70774771633,3.7288901477
3.6305784623,11.2969477446
2.86689635415,125.322876644
3.1994431394,124.281029707
1.31877207064,1.18739343276
3.53888411308,123.923381612
3.19596509479,40.8805956969
3.55276713814,125.667264235
3.59104424163,125.949249552
1.57519450791,123.20283898
2.4362788575,23.2705430562
2.77441896279,125.540622503
3.13512867455,122.385259528
4.18372847061,125.889622173
4.15621572108,20.0706992092
3.54354783383,125.827555227
2.17950466867,124.776244406
3.11779994362,124.910150647
5.11880329385,122.328125453
3.6530549759,126.041385437
4.00270816705,125.836048741
2.58367886004,1.76256648751
3.20943883643,117.792269791
2.77559739893,30.3694922719
