delta_R,m_mu_mu
3.97221309619,121.747583263
2.82996139824,125.773096839
2.13655288851,123.642212188
3.63564446818,125.055217215
3.06131392828,123.454119606
2.13921997782,124.831922893
2.68005490268,112.864791525
3.89332988611,128.691233666
3.27725309367,116.624047497
2.62519266618,126.134841407
3.00210507315,124.050299979
3.60427317152,125.357394452
2.7319244597,125.101419705
3.27239782787,18.8438530142
3.82394729082,82.2324886711
3.56033069807,126.386037976
3.91925932732,114.412699162
3.58839829301,124.727670935
2.24398125932,127.213870512
3.63988404434,120.079536855
4.10372562538,126.234529215
3.94494405974,124.167546877
3.76945462891,126.159983981
4.22430934257,13.9724890861
2.06176202449,123.204044589
3.46015384797,124.300782491
3.78793763208,123.475436639
2.8353505836,123.057079752
3.73980686137,48.1115097621
3.41092982721,126.156470584
2.93694038805,124.983872844
3.10690317591,121.747432752
3.32325384331,121.811887043
2.74193804811,124.350598517
2.87579424791,127.248395974
3.55012987945,119.515946175
4.6171285814,121.966703178
3.31650072891,128.22899588
2.78679002518,120.366525896
3.83657536779,125.223716305
3.57307480461,24.0838833519
2.12338944802,124.665757958
3.18861036799,119.730504814
3.55849953393,122.699120835
3.44090022297,123.954884461
3.61832422135,122.092109656
3.94545139104,117.917967857
2.32205479569,126.933047122
3.33348558769,119.371324662
4.19464343188,21.6175685474
3.89263601391,94.8363811015
2.52255666087,122.895138223
3.21655723784,122.313470707
5.20566294875,124.692968082
4.21318022263,123.166627027
2.95949599123,123.282501447
3.33331938635,126.032094384
2.88048491707,125.927005906
3.20174296317,100.33347166
2.98081350253,121.423892004
3.72483537669,122.495294029
3.89353212242,122.280079344
2.9452835067,124.774512178
3.10317963013,125.296248285
3.27956998457,125.39841212
4.33504381461,124.452326206
3.99718532566,126.742885483
1.96714474179,122.429778763
5.14850997017,15.3025703284
3.44053190192,122.26434912
3.70887871905,125.761059059
3.24868641406,127.477774618
3.40818912845,123.517389288
3.52341262459,125.860793674
4.30601806123,126.083455136
2.7526367885,125.618673891
1.40637270744,123.621671641
3.17992621539,125.991585534
3.55234105957,117.215799559
4.13151885617,123.273605313
3.21532630507,123.853714055
3.94683311175,124.386464681
3.14472745158,125.252572589
1.38532685448,126.015728205
2.82574096527,124.702102977
2.33900154937,125.376343298
2.36973119955,123.95826133
3.32303100344,124.323199852
3.18928873819,127.178089984
3.67673734622,123.038689216
3.71858805973,124.58383052
4.55443086925,2.2222177745
3.42105638411,126.251866089
3.96251984256,122.439858282
3.15811512433,125.040743574
3.70225728131,121.997003545
