delta_R,m_mu_mu
[ 4.22503684],[ 53.23791268]
[ 2.8299614],[ 125.77309684]
[ 2.13655289],[ 123.64221219]
[ 3.63564447],[ 125.05521722]
[ 3.20966432],[ 7.75605982]
[ 2.35073066],[ 19.39720104]
[ 2.6800549],[ 112.86479153]
[ 3.89332989],[ 128.69123367]
[ 3.27725309],[ 116.6240475]
[ 2.62519267],[ 126.13484141]
[ 3.00210507],[ 124.05029998]
[ 3.60427317],[ 125.35739445]
[ 2.73192446],[ 125.10141971]
[ 2.98105345],[ 6.11210464]
[ 3.95057069],[ 16.2663169]
[ 3.32227071],[ 20.55672414]
[ 3.91925933],[ 114.41269916]
[ 3.58839829],[ 124.72767093]
[ 1.967145],[ 25.52891122]
[ 3.69204482],[ 6.24314765]
[ 4.38024267],[ 41.04872743]
[ 3.94494406],[ 124.16754688]
[ 3.76945463],[ 126.15998398]
[ 4.22430934],[ 13.97248909]
[ 1.98955763],[ 20.09550263]
[ 3.26379283],[ 22.60078797]
[ 3.62603992],[ 11.2942576]
[ 4.14753584],[ 9.67196894]
[ 2.83535058],[ 123.05707975]
[ 4.11046916],[ 7.16605699]
[ 3.41092983],[ 126.15647058]
[ 2.93694039],[ 124.98387284]
[ 3.10690318],[ 121.74743275]
[ 3.32325384],[ 121.81188704]
[ 2.74193805],[ 124.35059852]
[ 2.87579425],[ 127.24839597]
[ 3.55012988],[ 119.51594617]
[ 4.44617225],[ 27.56753025]
[ 3.13053466],[ 30.31272495]
[ 2.78679003],[ 120.3665259]
[ 3.83657537],[ 125.2237163]
[ 3.84975589],[ 2.80612064]
[ 1.94339956],[ 2.33755774]
[ 3.18861037],[ 119.73050481]
[ 3.55849953],[ 122.69912084]
[ 3.43830848],[ 4.62674664]
[ 3.61832422],[ 122.09210966]
[ 3.94545139],[ 117.91796786]
[ 2.3220548],[ 126.93304712]
[ 3.33348559],[ 119.37132466]
[ 4.19464343],[ 21.61756855]
[ 4.14151022],[ 24.07571851]
[ 4.17798373],[ 10.51060615]
[ 2.18066777],[ 18.57958003]
[ 3.21655724],[ 122.31347071]
[ 5.20566295],[ 124.69296808]
[ 3.90304681],[ 34.81965807]
[ 2.95949599],[ 123.28250145]
[ 3.33331939],[ 126.03209438]
[ 2.88048492],[ 125.92700591]
[ 3.20174296],[ 100.33347166]
[ 2.9808135],[ 121.423892]
[ 3.72483538],[ 122.49529403]
[ 3.79210234],[ 23.53825326]
[ 2.94528351],[ 124.77451218]
[ 3.10317963],[ 125.29624829]
[ 3.27956998],[ 125.39841212]
[ 4.4934432],[ 41.56638307]
[ 4.25940955],[ 29.99587411]
[ 1.93039035],[ 10.33438991]
[ 5.06463377],[ 1.05913794]
[ 2.26937838],[ 20.05855638]
[ 3.4405319],[ 122.26434912]
[ 3.34755157],[ 28.86058074]
[ 2.92412535],[ 26.11759351]
[ 3.56196776],[ 3.76310199]
[ 3.47904712],[ 2.72618829]
[ 4.23580961],[ 7.78675603]
[ 2.75263679],[ 125.61867389]
[ 1.40637271],[ 123.62167164]
[ 3.17992622],[ 125.99158553]
[ 3.55234106],[ 117.21579956]
[ 4.13151886],[ 123.27360531]
[ 3.21532631],[ 123.85371405]
[ 4.32784876],[ 44.05144861]
[ 3.15581147],[ 17.30005417]
[ 1.38532685],[ 126.01572821]
[ 2.77056227],[ 25.96213464]
[ 2.33900155],[ 125.3763433]
[ 2.4787493],[ 1.91382969]
[ 3.32081309],[ 5.87904471]
[ 3.04566881],[ 50.93426505]
[ 3.67673735],[ 123.03868922]
[ 3.71858806],[ 124.58383052]
[ 4.55443087],[ 2.22221777]
[ 3.03178197],[ 35.44971243]
[ 4.32309879],[ 1.48908826]
[ 2.97951709],[ 28.74575539]
[ 3.80104241],[ 3.57110026]
[ 3.48483939],[ 44.7314254]
[ 3.45400309],[ 63.10295737]
[ 3.88487635],[ 3.21038241]
[ 3.96007486],[ 122.42030562]
[ 1.45796214],[ 124.32860581]
[ 2.9898082],[ 123.8785033]
[ 3.11834519],[ 121.63554113]
[ 3.50308344],[ 126.47123804]
[ 2.81504635],[ 127.64862225]
[ 2.96063562],[ 122.67020911]
[ 3.38568986],[ 124.82120426]
[ 2.41466592],[ 32.90495184]
[ 3.45026893],[ 125.38354085]
[ 2.54721715],[ 124.82409154]
[ 3.3156256],[ 125.93642142]
[ 0.97613502],[ 123.61691059]
[ 3.02841189],[ 15.55258857]
[ 2.01770116],[ 122.9033273]
[ 2.53839476],[ 121.67349265]
[ 2.32590725],[ 120.76132775]
[ 3.10856384],[ 125.41074792]
[ 3.15027074],[ 8.79302946]
[ 2.77251278],[ 124.14966974]
[ 3.92613375],[ 7.26113786]
[ 2.27454579],[ 124.67230297]
[ 3.2326226],[ 6.82124808]
[ 3.01067738],[ 123.07902842]
[ 3.32302653],[ 122.61328835]
[ 2.18739693],[ 121.6743298]
[ 3.23066046],[ 125.35616992]
[ 2.7602168],[ 125.84240672]
[ 2.70774772],[ 3.72889015]
[ 3.63057846],[ 11.29694774]
[ 2.86689635],[ 125.32287664]
[ 3.19944314],[ 124.28102971]
[ 1.31877207],[ 1.18739343]
[ 3.53888411],[ 123.92338161]
[ 3.19596509],[ 40.8805957]
[ 3.55276714],[ 125.66726423]
[ 3.59104424],[ 125.94924955]
[ 1.57519451],[ 123.20283898]
[ 2.43627886],[ 23.27054306]
[ 2.77441896],[ 125.5406225]
[ 3.13512867],[ 122.38525953]
[ 4.18372847],[ 125.88962217]
[ 4.15621572],[ 20.07069921]
[ 3.54354783],[ 125.82755523]
[ 2.17950467],[ 124.77624441]
[ 3.11779994],[ 124.91015065]
[ 5.11880329],[ 122.32812545]
[ 3.65305498],[ 126.04138544]
[ 4.00270817],[ 125.83604874]
[ 2.58367886],[ 1.76256649]
[ 3.20943884],[ 117.79226979]
[ 2.7755974],[ 30.36949227]
[ 2.91388837],[ 116.61709472]
[ 3.20921007],[ 21.13920416]
[ 4.25777816],[ 11.70009689]
[ 0.92138207],[ 123.53377078]
[ 4.62387906],[ 28.30114953]
[ 4.91509404],[ 121.45920582]
[ 2.96942079],[ 26.33459278]
[ 2.40209829],[ 5.5600958]
[ 2.89651037],[ 25.87751001]
[ 3.62656874],[ 10.59813915]
[ 3.35063346],[ 124.45312052]
