delta_R,m_mu_mu
4.53734933697,128.3843245
3.95713559038,27.8709507552
3.2221930584,125.02423735
3.23604486655,124.435172099
3.71820053234,125.918836123
3.91523201795,127.156520476
3.55026257866,122.060222093
3.06045505922,123.257622563
1.18573673154,122.574624288
3.74875959301,124.050076627
3.29562896833,122.00385799
4.3701119597,118.034058169
4.19861590998,124.873924888
6.07100093457,124.487039809
3.0808804776,125.627650265
4.42190247973,1.48385096568
3.45643550654,121.521985732
3.36272860835,13.6923336096
3.8139202066,125.766048463
4.53347103596,8.45392343864
3.86780188583,6.15843315977
3.22941521381,3.28435147573
3.12751275654,30.0197100911
1.53973036177,1.52361256168
2.69729661247,125.317660138
3.0989242968,2.39006844399
3.30526176459,120.871079874
3.4671736032,126.462985069
3.23904628306,125.813898741
3.4145767597,119.997336968
3.953342249,125.436377967
2.53918889482,101.021815185
3.57783425994,126.175285968
3.63579484752,31.0207288332
3.34744420662,126.649386308
3.54474525542,18.1335468272
3.59441877347,123.914484642
3.52496387276,125.918732322
3.42713842631,122.761939682
2.78677917172,124.735678205
2.73344162042,3.94559350581
3.03914568152,29.6277262645
3.38155312926,123.314056844
2.53026153174,36.0956265956
3.81628481355,129.058146441
4.17277246885,96.2892788267
2.51720404494,125.868772274
2.92077484077,14.9501945368
3.11677769705,19.5981334899
4.97092712828,34.6619556456
3.66627022231,6.64013898081
2.19786811002,17.3871525194
2.0900487329,122.845607725
2.81757619323,124.366006381
3.52154833579,126.750905198
4.75420914943,42.539895313
4.72096851803,125.955845325
3.34827411628,18.7324438473
3.94133365994,117.304614486
3.78878706895,7.74472610938
3.14118293889,29.2277448063
3.58658558144,125.359616626
3.86715934099,29.6997967065
3.1071061697,123.715296134
2.55492248356,6.42982874433
3.19453899357,124.730659664
3.1158111636,124.054646428
3.39971098195,125.733580221
3.44850134202,32.6862314854
4.78523254454,129.122305495
2.02336015204,17.8422291655
3.56723961228,124.370576931
2.6955831841,101.281748217
3.95353660081,125.309980301
4.14514188593,125.430107335
3.49725030959,29.5697603977
4.57359490607,9.62661178656
2.10969183972,124.016750099
3.38504252708,126.020261525
3.35761278483,125.900192959
1.53731931191,1.99168908092
3.89533966086,126.408438577
3.31373334759,125.045683027
2.69863612497,114.285468257
3.85581671236,6.74355432248
1.56821102304,2.52273056824
3.57005386049,121.866410008
3.23951789063,122.844141587
3.12410805062,3.82776152434
3.3205324805,31.3083365693
1.67544769843,124.175823457
4.47295083427,11.4231101835
3.45313402692,38.2445470721
2.96112609359,6.51787775139
3.30753461053,14.6486504397
3.05005474823,116.281087332
3.23843764021,7.4066280869
2.84585213543,96.2536235521
3.45154627254,28.6813695161
3.43274014839,121.351845674
3.26936008608,6.4296186865
2.61430920645,123.965364088
2.77337567313,18.3550389165
3.36236978164,119.852709905
2.84938544576,118.569353754
3.93758131309,1.99878249087
1.85494946947,1.90354919278
3.18452055223,139.077246249
4.01228817538,34.0512102571
3.69879309324,52.7331701224
3.14228953227,120.102925281
3.44453039991,2.47086893303
2.75373833064,127.156401639
3.33828431048,20.6577231486
3.47129782295,121.420704281
3.60671313442,124.85906579
3.75266990243,126.190585511
3.75989229765,35.8808648398
3.40165251608,129.231376007
2.96031263554,36.6085057554
2.79950326578,124.723327473
0.855115674863,1.03216750878
3.09983450124,10.9607629148
2.67515705301,122.28760612
1.88456476503,125.413099068
2.10083110578,20.9631554554
3.24867805887,18.4164785093
3.07362396267,2.95782677452
2.63195414939,125.432083909
3.50157930224,125.112127353
3.70637768263,124.100006194
3.11030098526,29.6326994606
3.76978383999,126.08846132
2.90035827994,10.0892044035
4.83285309397,7.00231651452
3.50878941083,20.08543026
2.10669897369,122.579977803
3.9239997634,6.74382885223
4.1728353235,8.16813204585
2.66223445265,27.4117939069
3.71646784357,123.618592508
3.48665693282,124.936831734
3.19395676605,136.254749513
3.12740505696,7.31815568384
3.06094808931,20.0929420694
3.19254360972,120.626229489
4.20321104301,125.821463628
3.05734612048,126.394513058
4.70726449113,126.910892822
3.04140511254,2.63345615739
3.08249866278,13.9487029912
2.05846576782,124.427327352
3.80190888912,127.338578695
2.98441828434,22.7364855257
3.40811959869,123.985178664
3.18914877287,124.880109217
4.27236726373,128.018211154
3.8583138889,6.31501950312
3.56391906873,107.972071073
1.0898610511,119.162440597
3.28315667228,124.882769132
2.70796103632,117.821003159
3.90253862014,123.912932594
2.25896483865,1.90577930902
3.36713762943,25.573206495
4.15987587016,7.00312174581
3.90143040913,122.672071395
1.35212211805,2.09053869006
3.06996192949,2.211445856
3.76372396378,94.6727326786
4.8267410096,126.165384976
2.70919449537,25.2739902557
3.1057661378,123.746779951
2.96933173241,124.510534556
3.68287554411,42.2546934144
3.3080544832,5.16579312608
4.54712857471,126.371618693
3.80556809068,2.15312436584
4.0410201756,6.87917662498
3.63015396943,126.038608958
3.83575361272,2.27785477009
3.39853854039,122.309920593
3.64737452517,89.2333511468
2.72732103666,124.737827931
3.65171204418,124.708103158
4.15890974472,127.021213694
3.58885363868,7.04749437566
3.30824436341,124.799464908
4.3128010684,121.394933834
3.10287905465,117.365026091
2.55859773819,75.1123355142
3.076078275,68.4619542806
2.90809402441,67.9884128449
4.15986350513,124.861045161
3.52196210752,22.7165335059
3.29953055556,41.0001361469
3.43226712895,14.7253162553
3.31511002115,2.3649084603
3.87108369946,125.397094271
2.77997612188,123.933575042
1.65589530905,70.4097114132
2.53980193414,119.714371216
1.80875243581,11.5698813062
2.9306238334,123.632331927
2.97889004107,36.1928663683
3.57024189628,14.6335415423
3.78344663108,122.958500905
2.95615697621,126.57113396
0.39756301801,18.3848436765
3.73493420782,8.43243189125
0.532171950168,0.647262050761
3.97610955856,60.6103382966
4.02397991401,11.0310161465
3.00451878836,123.000308966
1.64234265133,108.632342428
3.31272518697,39.188841055
4.67252433136,124.269697019
3.00729593532,25.0379365532
3.01017538753,125.136493052
3.15742484324,31.8166961272
2.55898337709,124.426815889
3.93843976088,56.7130921436
2.59269319466,120.60848991
4.36917882476,14.2513365208
2.55415756923,124.352483692
3.31646160932,120.752840588
3.202746203,121.422743408
2.56507886058,126.518458083
3.75596167443,56.6586319955
2.83940586267,105.240567771
3.8492715113,124.044055893
3.13556776657,125.118480504
2.72394966826,132.342498544
3.50479378868,21.9301433963
3.81476554891,127.130253267
3.67188429943,32.4278894559
3.54138031097,128.202077057
2.61422652895,121.99483362
2.67180406475,125.631672193
3.99948167016,7.68757961719
2.37698622062,10.6895855383
3.13229624113,2.08126497123
3.73891145841,10.8528576188
1.83474232984,124.63614972
3.59150524589,124.358895833
3.65947827666,21.273468894
4.37015563797,126.409107317
2.93183734557,123.557036139
3.42683556889,124.070500915
3.50184614485,64.3441579411
3.4247401058,123.934115112
3.8778103709,67.2430547642
4.02686130658,119.433008362
3.07087281383,125.707732351
4.09716975024,1.58914398922
4.19791298909,99.8701729119
2.61919711828,125.277647869
3.56843708495,126.509610267
1.80063401,125.956503317
3.23517700473,122.607651964
3.21032872005,120.907617104
4.09687406732,42.7506190801
3.08707264792,118.783722054
3.43305829478,121.044105842
3.93656936795,124.933534082
3.39599034196,125.130157634
3.86647414994,96.1230650553
3.10741189076,2.03777834942
4.45934438541,124.634705667
3.64821771212,8.69557359992
1.54277048076,127.939410008
1.66826139472,118.570211887
2.26460668415,26.1319828305
3.90161108806,122.972595661
3.6326881865,127.141253002
4.8011938015,13.2033394552
2.03663364462,124.315063196
3.03805628432,125.876443885
2.86882030316,28.7247687364
2.34336479536,22.3807716052
3.14686846064,14.7249269
3.25048517105,17.9182724008
4.26018957966,100.1943261
3.04968574352,125.154484762
3.42548910348,22.8039795372
2.03620376191,11.7948628208
2.57902840286,121.611151311
2.21575456359,122.742226711
3.08289865916,13.9850287606
2.44466699315,123.811107406
3.7861252901,109.595375311
3.02874758059,125.22588419
3.13509516936,125.136745497
2.99338810005,123.213695067
3.59336740831,13.0400705725
4.16061675662,21.7495909143
2.48482469432,2.14663964571
3.15090437177,11.726160367
1.15044297306,0.979311772513
3.55197705898,19.149075809
4.0986999186,128.694925842
4.34295471253,14.8182812973
2.54526217748,126.176313243
3.44861265332,18.1168776344
3.05553639385,3.30303177611
2.56704535943,43.0618439444
2.11256974709,121.855400408
3.67320272457,117.903923199
2.77704752622,28.4068215933
2.39876521148,127.168625466
2.1607813804,126.250709978
3.58306976638,124.216602055
3.12682766174,126.311670167
2.14765468084,124.903384573
3.2718622025,6.11665677832
4.43056385337,124.592523636
3.10439373603,1.69440453601
2.69665267608,122.005666264
2.50152550215,124.188427815
3.19458026954,2.87760184442
3.29261943522,121.858868047
2.44665668804,126.294178482
4.73808094314,11.1344932598
5.06854104474,1.89316124884
2.94431805252,126.550122191
2.60135262814,18.5782573171
3.17828982507,38.5783325186
4.14944589132,123.827493597
3.676734313,1.81716009001
3.59790241576,55.3103622554
3.51035267024,7.96958687005
3.04774737954,125.59372841
2.20784909564,116.545267102
3.12823376373,39.3112502054
4.46191580122,7.66727634515
2.37441186277,1.89178127428
2.79646172136,64.7298076682
3.27990412529,37.7224119113
4.47035439554,123.891524699
4.49017081443,124.869395452
2.44912315338,121.707077142
4.18546948053,11.0159528826
4.25648006594,124.744039508
4.7927846923,24.0404618473
1.86499065548,26.4272894397
3.93342662312,11.1730877058
2.66305471526,120.953174396
4.62201292621,30.1542993836
3.13906744379,2.36615610002
3.52869614474,121.215939015
4.05704734265,14.4356064715
2.89287741376,124.152142248
2.82335241449,45.2476299173
3.41095051103,41.6904838063
2.29148199909,1.57671400373
3.48133878667,115.561745626
3.28088978438,119.244465906
3.06772612612,128.880252933
2.75276767228,2.76250382087
2.54004457899,125.65562625
2.79490086415,15.8919239154
3.05619192675,126.752258212
2.75225286112,2.89159860785
3.3116813437,122.743346626
3.48530271357,130.887405086
3.46357647223,121.814079219
2.23848588052,123.42390515
3.48501665395,32.0088216894
2.36823785591,122.04045269
3.52546791327,2.13661062832
3.31837148793,124.29904731
3.48678735093,39.0974776705
3.9774085181,2.31303702324
3.27565953686,127.666379174
2.81754838453,7.87681660357
2.93894371456,124.537444542
3.44773822777,36.5106972047
3.09748335772,123.999899872
1.01560819177,133.595529826
4.27485593223,123.777933883
3.49524267393,124.700142336
2.29336012126,125.707460513
3.43985158603,125.940712983
2.29342424635,117.690839209
1.67212299849,126.163783461
2.1577164879,123.841775488
5.12688899988,2.2644736183
2.54142235255,2.15086528367
4.20840886517,8.47209399218
3.45327665426,124.015992221
2.52002308916,123.18320603
4.38274461363,124.102096476
3.07398135374,11.6758109621
3.06572318021,124.434966096
3.48279615231,19.9875969295
2.33572514571,128.195220217
4.06831617918,127.677440004
2.90426702121,125.64479251
3.33518410872,24.4603888907
3.17869866303,25.35604131
2.48397028963,123.607357008
2.38267937508,126.622297534
2.82562771052,4.13677369094
3.97939111523,126.026102361
3.30439173044,125.005589897
5.02716864955,18.5120748607
4.66484822467,123.098611872
3.01066719892,110.177437808
3.39594684719,106.169486269
2.68304778775,121.064183695
2.45107084691,126.944506197
2.61684031537,122.159428765
4.25033108977,125.104847815
2.63443281504,45.1894043175
2.48098426357,4.09832843776
3.20568092592,121.199836274
2.06833923104,123.448140414
3.73260646406,126.040120799
2.870623482,122.545338985
1.91745156794,125.063221015
3.0565929753,123.434380851
4.41489898274,2.22639460853
2.18213468732,123.456641308
2.07303304918,123.900832347
3.78241734099,126.709000887
2.66588644632,120.816536667
3.32412561123,124.61797077
3.88936966467,123.830279818
3.79767856636,81.6729349059
2.93383271901,123.637489315
3.2430732015,125.596980257
2.33138137091,124.828698822
1.96298749121,125.635311867
5.05504355493,120.241404377
3.12576586912,128.404572155
2.80753398724,30.0230112365
2.99340740748,113.892924806
3.13656480752,21.2529941616
3.28906762133,120.55035199
3.54334115096,23.2464510185
3.17750096907,4.39421949947
3.89645387892,9.66974279406
3.1453774871,128.331520513
3.41651608054,123.452347822
4.07922377953,8.28815135266
3.29152732766,123.783447448
2.86611451048,7.8076886717
3.26441842143,13.378572882
2.61604732814,123.885742005
3.3558372691,17.5050007811
3.07838829999,131.26973213
2.89289838075,117.306380876
4.05957348136,3.67528502052
2.90495578855,124.3759953
3.24833130869,11.0054461275
2.65137270457,130.429124906
3.32782103262,34.802832829
4.51307135379,1.47091169397
3.59582309632,126.554258777
3.44239347369,123.893313105
3.43291796244,41.6359142776
5.31956147002,132.537675707
3.20017145987,125.80994459
2.56075032055,119.754874136
3.76017978247,15.9267314574
3.28486385494,125.542706061
3.39515459934,6.81940635807
3.07360394882,127.076127234
1.83243728928,117.902552099
3.12063611859,125.532556944
3.36298344769,126.542949931
3.74804033043,121.88567435
3.83354018385,7.87117189196
3.12213268801,22.7258635178
3.27339582021,125.176629465
1.74490197304,1.6077249604
2.49690219788,124.153841825
4.07269797446,127.480213213
4.10052529484,1.91325205583
3.97653603702,16.3058625532
4.34808273182,22.8267048697
3.07648420174,26.0351760738
3.04761236926,124.642769967
2.79396559734,125.068487696
4.2608122273,125.350719272
2.6841503417,22.7349357655
1.552112781,124.911269523
4.16888789947,14.4888381471
3.67557042253,123.570696625
2.3435121072,124.145213916
3.55671720457,44.1520487694
3.05968310396,9.65695489994
2.52233852566,125.43670423
3.0067148237,21.2617726223
3.37827176808,2.33247409947
1.38387092388,122.911885202
3.49968488303,125.803612495
3.42417364483,118.956606745
3.07505746166,99.4010174451
2.68388073093,124.876286735
3.80565468376,125.658905288
4.04967751917,6.59044673022
2.65017293996,32.5400880389
2.56384358859,71.3710372977
3.42424258067,33.7283032456
4.13197779896,125.721391887
3.03693881498,24.0828781484
3.08753707427,15.9011012136
2.6989673189,125.967278091
2.74796278236,129.467078559
0.782199924106,1.09574875334
2.26315209048,18.3048259852
2.95602961956,14.2937786911
2.60180910905,9.89296912195
3.38641329032,8.76621587521
2.725401467,122.900031057
3.13706282286,57.2377247577
4.48028339329,11.9614528969
3.65700928277,10.3682138547
3.01178102862,124.490327247
3.42274979282,112.353087927
3.63888600823,18.7904164582
3.62083408293,7.09243059587
3.10701053958,33.8724896671
2.93324440877,127.894974211
2.05330569293,128.281731458
3.04103194486,115.801200371
3.00989954147,125.871971385
3.0967588459,1.84050573218
4.25447533843,124.456209514
1.19374491918,117.931204716
3.45088866026,121.161612922
3.50023040489,124.735958167
4.278314942,6.13396618899
1.59154391685,122.547815624
3.13684477742,121.194513954
3.77213221845,123.583607327
2.83258376059,126.722285819
3.64361739732,123.056396793
4.16913827607,1.76976866542
2.55734186087,1.59305222457
2.5903525661,124.530864485
3.90019901972,24.6691554557
3.65655207295,17.300215524
3.4516709541,37.8391462149
3.54402907633,41.3424665194
3.42273284394,118.071824405
3.21892712323,125.79981696
3.61455334174,125.81538809
3.35452855159,125.122952021
3.13207220489,125.290597083
2.90356170563,17.1973215067
4.15263673513,5.66380615707
3.21893766912,6.81642508079
2.60404996055,126.266874383
3.74488998,123.89421191
3.42953175441,27.0658206532
3.25936436333,13.6458841369
3.09914168662,124.687094977
2.05813686196,1.76124769303
4.2756124584,105.739950192
2.5694023582,127.538805289
2.99640999618,127.172538558
3.43873491856,34.5160968792
0.921943967612,129.140599736
4.43398207605,34.2545524206
2.52225302316,104.699506523
3.01212989586,17.4558932445
4.22571716782,114.037658528
3.44269882294,1.84043891634
2.73772441675,125.185883754
3.42602712436,31.7914021907
4.93235086798,7.87297723401
2.9052810167,124.41780388
3.41827147038,125.663963869
4.19468763278,123.236578841
3.16275348437,2.34268370415
3.23626651609,124.583542006
4.23933658103,6.12576138729
2.83338228082,2.86174483319
4.65494004669,126.191676816
3.26459853916,25.5183448023
3.48276781714,35.6648588701
4.05367945475,131.131038329
2.45385815211,125.131912727
2.86799416587,124.045346835
3.19988846367,123.228018857
4.14563358833,122.450605021
3.32643748496,125.345871256
3.38608032452,5.09145338255
3.15534549178,7.15205164102
4.62482114933,8.13568924283
2.60463208732,28.2933187286
3.11801178691,121.638693087
3.93965508672,123.175142563
3.22375455941,25.8946159296
3.74232070211,40.6979493437
2.96136275974,121.549165944
4.94189970746,121.723516516
3.35897743168,6.12236342435
3.47271285704,3.03773544195
3.43092116796,126.519207229
2.80324723567,122.294279824
2.43445190419,125.871375572
3.6567570606,124.945218741
3.20716761887,124.389220589
3.24575549098,122.829527345
3.1362529977,24.6059735067
2.78662945944,1.99379654811
3.15423624174,127.54558886
3.3573377042,30.5314417439
3.66374047343,1.82474071807
2.31265481678,8.84409943642
3.73634740527,126.370277859
3.39004153575,108.532225477
3.41533759199,124.985005113
3.50335471218,71.3821678919
4.06623589683,129.676906818
3.83726833451,108.067893115
2.43081221958,126.744814281
2.50225801412,122.105337554
2.28640377063,127.436560063
3.51074764796,114.119431322
2.92707199503,126.388439431
3.37033969365,123.099636662
4.43139911741,124.942039456
3.42521627011,124.615398482
3.26532989887,77.5985595575
2.37500606448,78.5074764146
3.32060149151,123.728724408
3.47241217665,125.562623975
2.57488172506,74.5411764173
2.71535986088,50.6135759564
3.86824300175,124.34132018
2.29084469429,3.68750174231
3.37945214253,123.458007821
2.97336151892,121.319450596
2.98725877188,121.809023482
3.71637147084,117.103109571
4.26831925319,7.76879883282
2.81324309796,122.447868627
3.74650278643,34.395564298
3.39477487892,2.39528500277
