delta_R,m_mu_mu
4.53734933697,128.3843245
3.68854080123,126.21942578
3.2221930584,125.02423735
3.23604486655,124.435172099
3.71820053234,125.918836123
3.91523201795,127.156520476
3.55026257866,122.060222093
3.06045505922,123.257622563
1.18573673154,122.574624288
3.74875959301,124.050076627
3.29562896833,122.00385799
4.3701119597,118.034058169
4.19861590998,124.873924888
6.07100093457,124.487039809
3.0808804776,125.627650265
4.42190247973,1.48385096568
3.45643550654,121.521985732
2.97033036854,125.635025523
3.8139202066,125.766048463
4.25779740366,120.258867806
3.51821554404,126.195137953
3.02335148683,123.376448255
2.7864391667,124.798212978
1.22851496775,124.192964063
2.69729661247,125.317660138
3.02249118923,2.73526057068
3.30526176459,120.871079874
3.4671736032,126.462985069
3.23904628306,125.813898741
3.4145767597,119.997336968
3.953342249,125.436377967
2.53918889482,101.021815185
3.57783425994,126.175285968
3.575249817,124.57138217
3.34744420662,126.649386308
3.26239835499,133.431158076
3.59441877347,123.914484642
3.52496387276,125.918732322
3.42713842631,122.761939682
2.78677917172,124.735678205
2.58768202276,15.3670833094
3.04959069687,123.585446391
3.38155312926,123.314056844
2.56049144859,119.166126725
3.81628481355,129.058146441
3.84734973071,131.629135827
2.51720404494,125.868772274
3.16922309292,121.439906914
3.26625166048,126.245559867
4.97092712828,34.6619556456
3.62234392058,123.919070573
2.07682836548,127.948948624
2.0900487329,122.845607725
2.81757619323,124.366006381
3.52154833579,126.750905198
4.51438801026,130.706993317
4.72096851803,125.955845325
3.01987237699,124.137572728
3.94133365994,117.304614486
3.78878706895,7.74472610938
3.19690994017,115.535353178
3.58658558144,125.359616626
3.8817190237,124.454346129
3.1071061697,123.715296134
2.31150614243,121.037461469
3.19453899357,124.730659664
3.1158111636,124.054646428
3.39971098195,125.733580221
3.05137881897,131.051795231
4.78523254454,129.122305495
1.72381035665,91.3447378435
3.56723961228,124.370576931
2.6955831841,101.281748217
3.95353660081,125.309980301
4.14514188593,125.430107335
3.31224664912,124.999554069
4.57359490607,9.62661178656
2.10969183972,124.016750099
3.38504252708,126.020261525
3.35761278483,125.900192959
1.6742269522,126.248718605
3.89533966086,126.408438577
3.31373334759,125.045683027
2.69863612497,114.285468257
4.04901670071,123.77579575
1.8954243561,111.021512483
3.57005386049,121.866410008
3.23951789063,122.844141587
3.30904170355,10.2671113219
3.38834710907,125.129813089
1.67544769843,124.175823457
4.18878039024,126.499696314
3.25656435141,84.3084177172
3.1430840644,124.10795995
3.48165369502,127.536208691
3.05005474823,116.281087332
3.5022059555,130.717269848
2.86817405779,123.834592974
3.4055772394,128.254655563
3.43274014839,121.351845674
3.00884239092,119.436612499
2.61430920645,123.965364088
3.05144626663,117.703565597
3.36236978164,119.852709905
2.84938544576,118.569353754
3.66970661385,11.5537546203
1.85494946947,1.90354919278
3.18452055223,139.077246249
3.70927229016,125.468512311
3.30418770535,124.969396771
3.14228953227,120.102925281
3.05525189426,125.749721762
2.75373833064,127.156401639
3.16506337461,124.191430136
3.47129782295,121.420704281
3.60671313442,124.85906579
3.75266990243,126.190585511
3.5438255764,123.91812404
3.40165251608,129.231376007
3.00385221542,130.291322893
2.79950326578,124.723327473
0.482600104411,122.739696599
3.25455566146,109.305286234
2.67515705301,122.28760612
1.88456476503,125.413099068
2.36194783765,126.600287779
3.24867805887,18.4164785093
3.36438087594,118.820568252
2.63195414939,125.432083909
3.50157930224,125.112127353
3.70637768263,124.100006194
3.22861234724,120.03601827
3.76978383999,126.08846132
3.11110738929,123.950157213
4.86341057302,11.5344765671
3.23328918096,124.604247995
2.10669897369,122.579977803
4.12348145884,123.454254501
4.71813387776,9.85167282926
3.0460178808,124.025055038
3.71646784357,123.618592508
3.48665693282,124.936831734
3.19395676605,136.254749513
3.35751086954,127.074608281
3.00251909017,125.090737726
3.19254360972,120.626229489
4.20321104301,125.821463628
3.05734612048,126.394513058
4.70726449113,126.910892822
2.97922583753,124.956262601
3.64035435029,58.8578860346
2.05846576782,124.427327352
3.80190888912,127.338578695
2.79904512994,124.155304213
3.40811959869,123.985178664
3.18914877287,124.880109217
4.27236726373,128.018211154
3.62904589963,127.570494789
3.56391906873,107.972071073
1.0898610511,119.162440597
3.28315667228,124.882769132
2.70796103632,117.821003159
3.90253862014,123.912932594
2.25896483865,1.90577930902
3.24055616914,125.274143662
4.21397036591,125.953391036
3.90143040913,122.672071395
1.45492796418,128.142190401
3.01426301226,126.472417207
3.76372396378,94.6727326786
4.8267410096,126.165384976
3.02737687744,125.96514052
3.1057661378,123.746779951
2.96933173241,124.510534556
3.68287554411,42.2546934144
3.19211563729,124.948086467
4.54712857471,126.371618693
3.88403743417,12.648428636
3.41284228129,46.950629853
3.63015396943,126.038608958
3.83575361272,2.27785477009
3.39853854039,122.309920593
3.64737452517,89.2333511468
2.72732103666,124.737827931
3.65171204418,124.708103158
4.15890974472,127.021213694
3.32240330899,123.256419305
3.30824436341,124.799464908
4.3128010684,121.394933834
3.10287905465,117.365026091
2.60536938989,120.466403086
3.076078275,68.4619542806
2.89203153636,123.885846137
4.15986350513,124.861045161
3.24001904229,124.655307169
3.67479455865,124.222665442
3.05482156836,124.026208993
3.52988613469,124.061521101
3.87108369946,125.397094271
2.77997612188,123.933575042
1.65589530905,70.4097114132
2.53980193414,119.714371216
1.99904507152,122.247583412
2.9306238334,123.632331927
2.887642519,124.324814587
3.2864475618,115.526387117
3.78344663108,122.958500905
2.95615697621,126.57113396
0.627961826615,121.995216467
4.09197990747,106.994373943
0.64015768178,125.367454488
3.91852837901,126.072223699
3.85500245163,128.147632759
3.00451878836,123.000308966
1.64234265133,108.632342428
3.62744825223,126.649524952
4.67252433136,124.269697019
2.84755971592,124.806135447
3.01017538753,125.136493052
2.89162497731,92.0871440419
2.55898337709,124.426815889
3.93843976088,56.7130921436
2.59269319466,120.60848991
3.97583408561,48.673604344
2.55415756923,124.352483692
3.31646160932,120.752840588
3.202746203,121.422743408
2.56507886058,126.518458083
3.75596167443,56.6586319955
2.83940586267,105.240567771
3.8492715113,124.044055893
3.13556776657,125.118480504
2.72394966826,132.342498544
3.39823247004,123.355443485
3.81476554891,127.130253267
3.3767589744,125.398815427
3.54138031097,128.202077057
2.61422652895,121.99483362
2.67180406475,125.631672193
3.99948167016,7.68757961719
2.43890741302,123.892936318
3.3424200885,126.628738997
3.47379437647,120.884272406
1.83474232984,124.63614972
3.59150524589,124.358895833
3.30160918661,124.044878798
4.37015563797,126.409107317
2.93183734557,123.557036139
3.42683556889,124.070500915
3.50184614485,64.3441579411
3.4247401058,123.934115112
3.88104896049,122.797677301
4.02686130658,119.433008362
3.07087281383,125.707732351
